Country or Area,City,Source Year,Value,ISO3166-1-Alpha-2,ISO3166-1-Alpha-3
Serbia,Šabac,2024,51163,RS,SRB
Thailand,Krabi,2013,52867,TH,THA
Serbia,Kruševac,2024,53746,RS,SRB
Serbia,Leskovac,2024,54091,RS,SRB
Switzerland,Biel/Bienne,2022,55140,CH,CHE
Thailand,Satun,2013,55273,TH,THA
Australia,Greater Hobart,2025,55964,AU,AUS
Australia,Hobart,2025,55964,AU,AUS
Austria,Sankt Pölten,2024,56180,AT,AUT
Thailand,Sing Buri,2013,56396,TH,THA
Serbia,Kraljevo,2024,57432,RS,SRB
Serbia,Smederevo,2024,59261,RS,SRB
Dominican Republic,Azua,2012,59319,DO,DOM
Burkina Faso,Pouytenga,2009,60618,BF,BFA
Eswatini,MBABANE,2020,60691,SZ,SWZ
Canada,Belleville,2025,61725,CA,CAN
Switzerland,Lugano,2022,62123,CH,CHE
Malaysia,Bandar Maharani,2013,62330,MY,MYS
French Guiana,CAYENNE,2025,63468,GF,GUF
Kenya,Nyeri,2016,63626,KE,KEN
Solomon Islands,HONIARA,2014,64609,SB,SLB
Brazil,São Félix do Xingu,2024,65418,BR,BRA
Dominican Republic,Moca,2012,65445,DO,DOM
Thailand,Uthai Thani,2013,65459,TH,THA
Cameroon,Edéa,2010,66581,CM,CMR
Dominican Republic,Bajos de Haina,2012,67117,DO,DOM
Serbia,Zrenjanin,2024,67129,RS,SRB
Australia,Launceston,2020,67449,AU,AUS
Dominican Republic,Bonao,2012,68602,DO,DOM
Serbia,Cacak,2024,69598,RS,SRB
Kiribati,TARAWA,2024,70090,KI,KIR
Ghana,Sekondi,2015,70361,GH,GHA
Serbia,Novi Pazar,2024,71462,RS,SRB
Dominican Republic,San Juan de la Maguana,2012,71494,DO,DOM
El Salvador,Sonsonate,2021,71602,SV,SLV
Malaysia,Butterworth,2013,71643,MY,MYS
Dominican Republic,Baní,2012,72466,DO,DOM
Brazil,Tailândia,2024,72493,BR,BRA
Serbia,Pancevo,2024,73401,RS,SRB
Colombia,Manaure,2020,74528,CO,COL
Martinique,FORT-DE-FRANCE,2025,74921,MQ,MTQ
Ukraine,Stakhanov,2018,75118,UA,UKR
Malaysia,Bandar Penggaram,2013,75148,MY,MYS
Armenia,Vanadzoz (Kirovakan),2024,75186,AM,ARM
Dominican Republic,Boca Chica,2012,75827,DO,DOM
Switzerland,St. Gallen,2022,76328,CH,CHE
Iran (Islamic Republic of),Shoosh,2017,77148,IR,IRN
Ecuador,Latacunga,2025,77267,EC,ECU
Thailand,Prachin Buri,2013,77645,TH,THA
Canada,Saint John,2025,78165,CA,CAN
Latvia,Daugavpils,2024,78850,LV,LVA
Ukraine,Enakievo (Yenakievo),2018,78867,UA,UKR
Ukraine,Krasny Lutch,2018,80602,UA,UKR
Thailand,Trang,2013,82794,TH,THA
Russian Federation,Chaykovsky,2013,82883,RU,RUS
Switzerland,Luzern,2022,82922,CH,CHE
Malaysia,Ampang/Ulu Kelang,2013,83040,MY,MYS
Spain,Torrevieja,2023,83740,ES,ESP
Venezuela (Bolivarian Republic of),Catia la Mar,2016,84268,VE,VEN
Colombia,Caucasia,2020,84717,CO,COL
Australia,Darwin,2025,85465,AU,AUS
Australia,Greater Darwin,2025,85465,AU,AUS
Puerto Rico,Arecibo,2025,85641,PR,PRI
Colombia,Tierralta,2020,86578,CO,COL
Lithuania,Panevezhis,2024,87395,LT,LTU
Poland,Jastrzebie-Zdrój,2020,87448,PL,POL
El Salvador,Cuscatancingo,2021,88238,SV,SLV
Cameroon,Bertoua,2010,88462,CM,CMR
Japan,Muroran,2017,88564,JP,JPN
Serbia,Subotica,2024,88752,RS,SRB
Puerto Rico,Guaynabo,2025,89039,PR,PRI
Cameroon,Kousséri,2010,89123,CM,CMR
Poland,Slupsk,2020,89277,PL,POL
Czechia,Ústí nad Labem,2022,89713,CZ,CZE
Zimbabwe,Masvingo,2023,90286,ZW,ZWE
Japan,Iga,2017,90581,JP,JPN
Brazil,Tucuruí,2024,91306,BR,BRA
Costa Rica,Pavas,2025,91792,CR,CRI
Chile,Chiguallante,2024,91963,CL,CHL
Bulgaria,Pleven,2023,92101,BG,BGR
Japan,Yokote,2017,92197,JP,JPN
Poland,Grudziadz,2020,92420,PL,POL
Czechia,Hradec Králové,2022,92649,CZ,CZE
Brazil,Barra do Piraí,2024,92883,BR,BRA
Colombia,Girardot,2020,92903,CO,COL
Brazil,Guaíba,2024,92924,BR,BRA
Brazil,Mairiporã,2024,93853,BR,BRA
Fiji,SUVA,2025,93870,FJ,FJI
Mauritius,Beau Bassin - Rose Hill,2025,94236,MU,MUS
New Caledonia,NOUMEA,2021,94285,NC,NCL
Brazil,Aracruz,2024,94765,BR,BRA
Venezuela (Bolivarian Republic of),Puerto La Cruz,2016,94796,VE,VEN
Brazil,Caieiras,2024,95032,BR,BRA
Colombia,Yumbo,2020,95040,CO,COL
Russian Federation,Magadan,2013,95263,RU,RUS
Russian Federation,Solikamsk,2010,95703,RU,RUS
Brazil,Vilhena,2024,95832,BR,BRA
Hungary,Székesfehérvar,2024,95915,HU,HUN
Canada,Peterborough,2025,96058,CA,CAN
Japan,Satsumasendai,2017,96076,JP,JPN
Japan,Mihara,2017,96194,JP,JPN
Brazil,Corumbá,2024,96268,BR,BRA
Brazil,Japeri,2024,96289,BR,BRA
Croatia,Osijek,2024,96313,HR,HRV
Brazil,Parintins,2024,96372,BR,BRA
Ecuador,Rumin~ahui,2025,96647,EC,ECU
Russian Federation,Ust-Ulimsk,2010,96699,RU,RUS
Brazil,Ariquemes,2024,96833,BR,BRA
Russian Federation,Glazov,2010,96843,RU,RUS
Russian Federation,Kansk,2010,96945,RU,RUS
Slovenia,Maribor,2022,97019,SI,SVN
Romania,Focsani,2013,97186,RO,ROU
Ghana,Takoradi,2015,97352,GH,GHA
Canada,Moncton,2025,97523,CA,CAN
Poland,Legnica,2020,97647,PL,POL
Japan,Hanamaki,2017,97702,JP,JPN
Israel,Kefar Sava,2025,97919,IL,ISR
Cuba,Sancti Spíritus,2025,97926,CU,CUB
Ukraine,Lysychansk,2018,97935,UA,UKR
Chile,Hualpén,2024,98055,CL,CHL
Brazil,Iguatu,2024,98064,BR,BRA
Japan,Shimada,2017,98112,JP,JPN
Russian Federation,Velikie Luky,2013,98141,RU,RUS
Brazil,Leme,2024,98161,BR,BRA
Thailand,Amnat Charoen,2013,98173,TH,THA
Ecuador,Babahoyo,2025,98251,EC,ECU
Brazil,Santa Cruz do Capibaribe,2024,98254,BR,BRA
Japan,Kanuma,2017,98374,JP,JPN
Brazil,Abreu e Lima,2024,98462,BR,BRA
Colombia,Lorica,2020,98491,CO,COL
Japan,Shibata,2017,98611,JP,JPN
Poland,Kalisz,2020,98777,PL,POL
Belarus,Novopolotsk,2021,98926,BY,BLR
Italy,Ancona,2024,98950,IT,ITA
Russian Federation,Zelenodolsk,2010,99089,RU,RUS
Japan,Sanjo,2017,99192,JP,JPN
Thailand,Nan,2013,99196,TH,THA
Chile,La Reina,2024,99212,CL,CHL
Japan,Saku,2017,99368,JP,JPN
Russian Federation,Uhta,2013,99680,RU,RUS
United States of America,Daly City (CA),2023,100007,US,USA
United States of America,Roanoke (VA),2023,100011,US,USA
Germany,Kaiserslautern,1999,100025,DE,DEU
India,Nagda,2017,100039,IN,IND
Pakistan,Renala Khurd,2024,100054,PK,PAK
Bangladesh,Choumuhani Pourasabha,2023,100065,BD,BGD
Russian Federation,Leninsk-Kuznetsky,2013,100073,RU,RUS
Poland,Tarnów,2023,100098,PL,POL
India,Gudiyatham,2007,100115,IN,IND
Japan,Ginowan,2022,100125,JP,JPN
Japan,Izumisano,2022,100131,JP,JPN
Philippines,Lamitan,2023,100150,PH,PHL
Germany,Gütersloh,2019,100194,DE,DEU
Germany,Cottbus,2019,100219,DE,DEU
Japan,Sakata,2022,100273,JP,JPN
Japan,Sakado,2022,100275,JP,JPN
Russian Federation,Mezhdurechensk,2013,100278,RU,RUS
India,Datia,2017,100284,IN,IND
India,Gangtok,2017,100286,IN,IND
United States of America,Davenport (IA),2024,100354,US,USA
Russian Federation,Sarapyul,2013,100362,RU,RUS
Iran (Islamic Republic of),Torbatejam,2017,100449,IR,IRN
Bangladesh,Thakurgaon Pourasabha,2023,100462,BD,BGD
Egypt,Al Orizah,1996,100482,EG,EGY
Iran (Islamic Republic of),Masjed Soleyman,2017,100497,IR,IRN
New Zealand,Whangarei District,2025,100500,NZ,NZL
United States of America,Livonia (MI),2002,100545,US,USA
Egypt,El-Mataria,2011,100566,EG,EGY
Russian Federation,Nazran,2013,100574,RU,RUS
India,Kalyani,2017,100575,IN,IND
United States of America,Portsmouth (VA),2009,100577,US,USA
Costa Rica,Limón,2025,100621,CR,CRI
United States of America,Hesperia (CA),2024,100633,US,USA
Iran (Islamic Republic of),Ahar,2017,100641,IR,IRN
Greece,Calithèa,2014,100641,GR,GRC
United States of America,Suffolk (VA),2024,100659,US,USA
Poland,Wloclawek,2023,100673,PL,POL
Philippines,Cavite City,2023,100674,PH,PHL
Chile,Lo Espejo,2024,100694,CL,CHL
United States of America,New Bedford (MA),2024,100695,US,USA
United States of America,San Angelo (TX),2017,100702,US,USA
United Republic of Tanzania,Shinyanga,1988,100724,TZ,TZA
Estonia,Tartu,2024,100724,EE,EST
Japan,Chikusei,2022,100753,JP,JPN
United States of America,Longmont (CO),2022,100758,US,USA
Costa Rica,Alajuelita,2025,100812,CR,CRI
China,Tongshi,2002,100836,CN,CHN
Spain,Barakaldo,2023,100847,ES,ESP
Pakistan,Kamoke,2021,100850,PK,PAK
United States of America,Yuma (AZ),2024,100858,US,USA
United Kingdom of Great Britain and Northern Ireland,Chesterfield/Staveley,2006,100879,GB,GBR
India,Banswara,2017,101017,IN,IND
Netherlands (Kingdom of the),Delft,2015,101030,NL,NLD
United States of America,Federal Way (WA),2023,101030,US,USA
United States of America,Flint (MI),2021,101030,US,USA
Brazil,Itaperuna,2024,101041,BR,BRA
United States of America,Erie (PA),2014,101047,US,USA
Iran (Islamic Republic of),Lahijan,2017,101073,IR,IRN
Japan,Kanoya,2022,101096,JP,JPN
Uzbekistan,Kuvasay,2024,101170,UZ,UZB
Russian Federation,Kiselevsk,2013,101180,RU,RUS
Azerbaijan,Mingecheviz,2022,101223,AZ,AZE
United States of America,Albany (NY),2024,101228,US,USA
United States of America,Lynn (MA),2024,101241,US,USA
India,Kasganj,2017,101277,IN,IND
Nigeria,Gboko,2002,101281,NG,NGA
United States of America,Chico (CA),2024,101301,US,USA
India,Chakdaha,2007,101320,IN,IND
United States of America,San Mateo (CA),2024,101327,US,USA
India,Malappuram,2017,101386,IN,IND
India,Chilakaluripet,2017,101398,IN,IND
Chile,La Cisterna,2024,101401,CL,CHL
Brazil,Assis,2024,101409,BR,BRA
India,Bhadreswar,2017,101477,IN,IND
Mexico,Caborca,2024,101480,MX,MEX
India,Coonoor,2007,101490,IN,IND
United Kingdom of Great Britain and Northern Ireland,Basildon/North Benfleet,2006,101492,GB,GBR
Portugal,Almada,2009,101501,PT,PRT
Egypt,Akhmim,2011,101509,EG,EGY
India,Sujangarh,2017,101523,IN,IND
Uganda,Kasese,2016,101557,UG,UGA
Belarus,Soligorsk,2021,101564,BY,BLR
Brazil,Lagarto,2024,101579,BR,BRA
Japan,Iida,2017,101581,JP,JPN
United States of America,Quincy (MA),2024,101597,US,USA
Iran (Islamic Republic of),Quchan,2017,101604,IR,IRN
United States of America,Vista (CA),2017,101659,US,USA
Nepal,Kohalpur,2023,101667,NP,NPL
India,Dhamtari,2017,101677,IN,IND
United States of America,Fayetteville (AR),2024,101680,US,USA
Bangladesh,Ghorashal Pourasabha,2023,101690,BD,BGD
Japan,Kawachinagano,2022,101692,JP,JPN
Brazil,Balsas,2024,101767,BR,BRA
Russian Federation,Noginsk,2013,101779,RU,RUS
Japan,Isehara,2022,101780,JP,JPN
Australia,Albury-Wodonga,2025,101793,AU,AUS
Italy,Novara,2024,101797,IT,ITA
Republic of Korea,Miryang,2025,101804,KR,KOR
India,Hinganghat,2017,101805,IN,IND
Mexico,Tepatitlán De Morelos,2024,101810,MX,MEX
Russian Federation,Esentuky,2013,101851,RU,RUS
Germany,Hildesheim,2024,101858,DE,DEU
Iran (Islamic Republic of),Shoshtar,2017,101878,IR,IRN
Brazil,Manacapuru,2024,101883,BR,BRA
Republic of Korea,Yeongju,2025,101891,KR,KOR
United Kingdom of Great Britain and Northern Ireland,Bedford/Kempston,2006,101928,GB,GBR
Russian Federation,Tobolsk,2013,101955,RU,RUS
Portugal,Viseu,2025,101977,PT,PRT
Nepal,Lahan,2023,102031,NP,NPL
India,Greater Noida,2017,102054,IN,IND
Pakistan,Kot Radha Kishan,2024,102057,PK,PAK
Chile,Lo Prado,2024,102078,CL,CHL
Japan,Onojo,2022,102085,JP,JPN
United States of America,Palm Coast (FL),2024,102113,US,USA
India,Bangaon,2007,102163,IN,IND
Kuwait,Jaleeb Al-Shuykh,2002,102169,KW,KWT
Russian Federation,Zheleznogorsk,2010,102169,RU,RUS
Brazil,Ituiutaba,2024,102217,BR,BRA
India,Aurangabad (Bihar),2017,102244,IN,IND
India,Phagwara,2007,102253,IN,IND
Iran (Islamic Republic of),Kashmar,2017,102282,IR,IRN
United States of America,Carmel (IN),2024,102296,US,USA
Canada,Chilliwack,2025,102306,CA,CAN
Kenya,Ngong,2021,102308,KE,KEN
Pakistan,Shabqadar,2024,102340,PK,PAK
India,Seoni,2017,102343,IN,IND
Ukraine,Pavlograd,2022,102373,UA,UKR
Romania,Satu-Mare,2014,102411,RO,ROU
Russian Federation,Kaspiysk,2013,102421,RU,RUS
Albania,Shkodër,2025,102434,AL,ALB
Belgium,Louvain (Leuven),2024,102477,BE,BEL
Poland,Chorzów,2023,102505,PL,POL
Sweden,Södertälje,2025,102518,SE,SWE
United States of America,Vacaville (CA),2024,102526,US,USA
Austria,Klagenfurt,2024,102527,AT,AUT
Bosnia and Herzegovina,Doboj,1994,102549,BA,BIH
Germany,Siegen,2024,102560,DE,DEU
Poland,Koszalin,2023,102570,PL,POL
Republic of Korea,Gimje,2002,102589,KR,KOR
Namibia,Walvis Bay,2025,102592,,NAM
Egypt,Gerga,2011,102597,EG,EGY
Russian Federation,Artem (Primorskiy Krai),2013,102605,RU,RUS
Japan,Inzai,2022,102609,JP,JPN
Philippines,Guihulngan,2023,102656,PH,PHL
Democratic People's Republic of Korea,Jongju,2009,102659,KP,PRK
United States of America,Wichita Falls (TX),2024,102691,US,USA
Pakistan,Pasrur,2024,102717,PK,PAK
Japan,Hoya,2009,102720,JP,JPN
Nepal,Triyuga,2023,102725,NP,NPL
Russian Federation,Asbest,2010,102728,RU,RUS
Italy,Piacenza,2024,102728,IT,ITA
United States of America,Gary (IN),2002,102746,US,USA
Belarus,Lida,2021,102748,BY,BLR
United States of America,Burbank (CA),2024,102755,US,USA
United States of America,Norwalk (CA),2023,102773,US,USA
Netherlands (Kingdom of the),Deventer,2025,102781,NL,NLD
Romania,Drobeta Turnu-Severin,2013,102839,RO,ROU
Canada,Victoria,2025,102856,CA,CAN
India,Buxar,2017,102861,IN,IND
United States of America,Inglewood (CA),2024,102865,US,USA
Germany,Schwerin,1999,102878,DE,DEU
India,Nagapattinam,2017,102905,IN,IND
Denmark,Frederiksberg,2021,102940,DK,DNK
United States of America,El Cajon (CA),2024,102991,US,USA
India,Koch Bihar,2007,103008,IN,IND
Ukraine,Slovyansk,2022,103029,UA,UKR
Brazil,Santo Antônio de Jesus,2024,103055,BR,BRA
Russian Federation,Novotroitsk,2013,103061,RU,RUS
Brazil,Camboriú,2024,103074,BR,BRA
Türkiye,Zonguldak (Merkez),2023,103079,TR,TUR
Chile,San Joaquín,2024,103118,CL,CHL
Brazil,Patos,2024,103165,BR,BRA
Egypt,Abo Keber,2011,103175,EG,EGY
India,Jehanabad,2017,103202,IN,IND
Spain,Telde,2024,103240,ES,ESP
Pakistan,Gujar Khan,2024,103284,PK,PAK
Japan,Chikushino,2022,103311,JP,JPN
Yemen,Ibb,2002,103312,YE,YEM
Netherlands (Kingdom of the),Venlo,2024,103328,NL,NLD
India,Betul,2017,103330,IN,IND
Nigeria,Sango Otta,2002,103332,NG,NGA
Brazil,Ubá,2024,103365,BR,BRA
Germany,Witten,1999,103384,DE,DEU
United States of America,Rialto (CA),2024,103391,US,USA
United States of America,South Bend (IN),2024,103395,US,USA
Botswana,Francistown,2024,103416,BW,BWA
Brazil,Itabaiana,2024,103440,BR,BRA
United States of America,Highlands Ranch (CO),2023,103444,US,USA
Republic of Korea,Jeongeup,2025,103480,KR,KOR
Romania,Buzau,2023,103481,RO,ROU
France,Saint-Paul (La Réunion),2012,103498,FR,FRA
India,Udgir,2017,103550,IN,IND
Brazil,Itacoatiara,2024,103598,BR,BRA
Zimbabwe,Chinhoyi,2023,103657,ZW,ZWE
Algeria,Bordj el Kiffan,2003,103690,DZ,DZA
Pakistan,Sangla Hill,2024,103709,PK,PAK
Brazil,Bacabal,2024,103711,BR,BRA
Japan,Tsuyama,2017,103746,JP,JPN
India,Baraut,2017,103764,IN,IND
Brazil,Poá,2024,103765,BR,BRA
Mexico,Apatzingán de la Constitución,2024,103769,MX,MEX
United States of America,El Monte (CA),2024,103794,US,USA
Brazil,Novo Gama,2024,103804,BR,BRA
Türkiye,Silopi Merkez (Sirnak),2023,103831,TR,TUR
Nigeria,Ikare,2002,103843,NG,NGA
India,Bansberia,2017,103920,IN,IND
India,Jagtial,2017,103930,IN,IND
India,Vaniyambadi,2007,103950,IN,IND
Chile,Linares,2024,103958,CL,CHL
Brazil,Ourinhos,2024,103970,BR,BRA
Russian Federation,Pushkino,2013,104020,RU,RUS
Brazil,São Pedro da Aldeia,2024,104029,BR,BRA
India,Tadepalligudem,2017,104032,IN,IND
Spain,Girona,2024,104038,ES,ESP
Nigeria,Ilawe-Ekiti,2002,104049,NG,NGA
Cameroon,Nkongsamba,2013,104050,CM,CMR
United States of America,Fishers (IN),2024,104094,US,USA
Brazil,Muriaé,2024,104108,BR,BRA
Germany,Zwickau,1999,104146,DE,DEU
Philippines,Balanga,2023,104173,PH,PHL
Russian Federation,Elista,2013,104177,RU,RUS
United States of America,Lee's Summit (MO),2024,104184,US,USA
Spain,Ourense,2024,104187,ES,ESP
United Kingdom of Great Britain and Northern Ireland,Lincoln,2006,104221,GB,GBR
France,Nancy,2025,104260,FR,FRA
Ukraine,Evpatoria,2013,104289,UA,UKR
Ukraine,Yevpatoriya,2013,104289,UA,UKR
Netherlands (Kingdom of the),Westland,2015,104302,NL,NLD
Uzbekistan,Bekabad,2024,104318,UZ,UZB
Czechia,Liberec,2022,104340,CZ,CZE
United Kingdom of Great Britain and Northern Ireland,Colchester,2006,104390,GB,GBR
India,Ballia,2017,104424,IN,IND
Chile,Pedro Aguirre Cerda,2024,104462,CL,CHL
United States of America,Renton (WA),2024,104491,US,USA
Philippines,Masbate,2023,104522,PH,PHL
Japan,Toride,2022,104524,JP,JPN
Dominican Republic,La Vega,2012,104536,DO,DOM
Germany,Salzgitter,2024,104548,DE,DEU
United States of America,Bend (OR),2024,104557,US,USA
United States of America,St. George (UT),2024,104578,US,USA
Romania,Piatra Neamt,2013,104605,RO,ROU
Thailand,Pattani,2013,104617,TH,THA
India,Bhavani,2007,104646,IN,IND
Japan,Tokuyama,2009,104672,JP,JPN
United States of America,Columbia (MD),2023,104681,US,USA
Nigeria,Awka,2002,104682,NG,NGA
Brazil,Coronel Fabriciano,2024,104736,BR,BRA
Algeria,El Eulma,2003,104758,DZ,DZA
India,Mormugoa,2007,104758,IN,IND
Brazil,Lavras,2024,104761,BR,BRA
Japan,Saijo,2022,104791,JP,JPN
Ukraine,Sievierodonetsk,2018,104828,UA,UKR
United States of America,Brockton (MA),2024,104890,US,USA
India,Miryalaguda,2017,104918,IN,IND
India,Bundi,2017,104919,IN,IND
India,Bhiwadi,2017,104921,IN,IND
India,Ambala Sadar,2017,104974,IN,IND
Oman,Nizwa,2022,104975,OM,OMN
Philippines,Tagbilaran,2023,104976,PH,PHL
Mexico,Valladolid,2024,104991,MX,MEX
Japan,Ikeda,2022,104993,JP,JPN
Malawi,Zomba City,2019,105013,MW,MWI
Brazil,Planaltina,2024,105031,BR,BRA
Nigeria,Suleja,2002,105075,NG,NGA
Brazil,Maranguape,2024,105093,BR,BRA
Nigeria,Okpogho,2002,105127,NG,NGA
Israel,Hadera,2025,105133,IL,ISR
Algeria,El Wad,2003,105151,DZ,DZA
India,Nagaur,2017,105218,IN,IND
Reunion,Saint-Paul,2024,105240,RE,REU
India,Kothagudem,2007,105266,IN,IND
Germany,Moers,2024,105287,DE,DEU
India,Tezpur,2007,105377,IN,IND
Iran (Islamic Republic of),Robatkarim,2017,105393,IR,IRN
India,Jamalpur,2017,105434,IN,IND
India,Hindaun,2017,105452,IN,IND
Russian Federation,Arzamas,2013,105506,RU,RUS
Colombia,Ipiales,2020,105517,CO,COL
Belarus,Mozir,2021,105527,BY,BLR
Brazil,Paragominas,2024,105550,BR,BRA
Brazil,Nova Serrana,2024,105552,BR,BRA
Ukraine,Alchevsk,2022,105580,UA,UKR
United States of America,West Covina (CA),2024,105617,US,USA
Romania,Suceava,2013,105624,RO,ROU
Brazil,Erechim,2024,105705,BR,BRA
Russian Federation,Obninsk,2013,105722,RU,RUS
Brazil,Jataí,2024,105729,BR,BRA
India,Neyveli,2017,105731,IN,IND
United States of America,Green Bay (WI),2024,105744,US,USA
India,Kishanganj,2017,105782,IN,IND
United States of America,Sandy Springs (GA),2024,105793,US,USA
United States of America,Edinburg (TX),2024,105799,US,USA
United States of America,Dearborn (MI),2024,105811,US,USA
United States of America,Boulder (CO),2024,105898,US,USA
Czechia,Olomouc,2022,106063,CZ,CZE
Bangladesh,Rangamati Pourasabha,2023,106069,BD,BGD
Lithuania,Shauliai,2024,106087,LT,LTU
Republic of Korea,Gongju,2025,106088,KR,KOR
Japan,Komatsu,2022,106216,JP,JPN
India,Chirkunda,2007,106227,IN,IND
France,Mulhouse,2025,106341,FR,FRA
Mongolia,Selenge,2025,106367,MN,MNG
India,Ranibennur,2017,106406,IN,IND
Italy,Bolzano,2024,106410,IT,ITA
Brazil,Tangará da Serra,2024,106434,BR,BRA
Philippines,Catbalogan,2023,106440,PH,PHL
India,Wardha,2017,106444,IN,IND
Japan,Kiryu,2022,106445,JP,JPN
Ukraine,Berdyansk,2022,106526,UA,UKR
Brazil,Açailândia,2024,106550,BR,BRA
Russian Federation,Zhukovsky,2013,106555,RU,RUS
Israel,Herzliyya,2025,106557,IL,ISR
United Kingdom of Great Britain and Northern Ireland,Eastbourne,2006,106562,GB,GBR
Pakistan,Kotri,2024,106615,PK,PAK
North Macedonia,Kumanovo,2009,106626,MK,MKD
India,Ghatlodiya,2007,106684,IN,IND
India,Karaikkudi,2017,106714,IN,IND
Japan,Tajimi,2022,106732,JP,JPN
Iran (Islamic Republic of),Chabahar,2017,106739,IR,IRN
Venezuela (Bolivarian Republic of),San Francisco,2016,106763,VE,VEN
United Kingdom of Great Britain and Northern Ireland,Scottish Borders,2006,106764,GB,GBR
United Kingdom of Great Britain and Northern Ireland,Exeter,2006,106772,GB,GBR
Italy,Terni,2024,106793,IT,ITA
India,Suryapet,2017,106805,IN,IND
Egypt,Desok,2011,106827,EG,EGY
Chile,Peñaflor,2024,106840,CL,CHL
Romania,Botosani,2014,106847,RO,ROU
United States of America,Centennial (CO),2024,106883,US,USA
Pakistan,Dera Murad Jamali,2024,106952,PK,PAK
Brazil,Breves,2024,106968,BR,BRA
China,Pingxiang (Guangxi),2002,107046,CN,CHN
Malaysia,M.D. Sabak Bernam,2022,107059,MY,MYS
Nigeria,ABUJA,2002,107069,NG,NGA
India,Mangalagiri,2017,107197,IN,IND
Kenya,Kakamega,2021,107205,KE,KEN
Brazil,Cambé,2024,107208,BR,BRA
Ukraine,Nikopol,2022,107214,UA,UKR
France,Argenteuil,2025,107221,FR,FRA
Nepal,Damak,2023,107227,NP,NPL
Malaysia,M.D. Kota Belud,2022,107243,MY,MYS
Russian Federation,Novokuybishevsk,2013,107244,RU,RUS
India,Shamli,2017,107266,IN,IND
Egypt,Kaluop,2011,107303,EG,EGY
United States of America,Jurupa Valley (CA),2024,107321,US,USA
India,Jalpaiguri,2017,107341,IN,IND
Russian Federation,Elets,2013,107347,RU,RUS
Canada,Cape Breton,2025,107391,CA,CAN
United States of America,Riverview (FL),2023,107396,US,USA
India,Shikohabad,2017,107404,IN,IND
Portugal,Funchal,2024,107562,PT,PRT
Brazil,Santana,2024,107618,BR,BRA
India,Sultanpur,2017,107640,IN,IND
Pakistan,Pishin,2024,107646,PK,PAK
United States of America,Hillsboro (OR),2024,107730,US,USA
Netherlands (Kingdom of the),Emmen,2015,107775,NL,NLD
Japan,Mishima,2022,107783,JP,JPN
United States of America,Davie (FL),2024,107799,US,USA
India,Itarsi,2007,107831,IN,IND
Russian Federation,Serov,2013,107904,RU,RUS
Brazil,Luís Eduardo Magalhães,2024,107909,BR,BRA
Belarus,Orsha,2021,107930,BY,BLR
Russian Federation,Achinsk,2013,107943,RU,RUS
Croatia,Rijeka,2024,107964,HR,HRV
Brazil,Itumbiara,2024,107970,BR,BRA
Oman,Jaalan Bani Bu Ali,2021,107976,OM,OMN
Mexico,San Juan Bautista Tuxtepec,2024,108044,MX,MEX
India,Port Blair,2017,108058,IN,IND
China,Dongxing,2002,108131,CN,CHN
India,Tadpatri,2017,108171,IN,IND
France,Caen,2025,108200,FR,FRA
United States of America,Spokane Valley (WA),2024,108235,US,USA
United Kingdom of Great Britain and Northern Ireland,East Dunbartonshire,2006,108243,GB,GBR
United States of America,Conroe (TX),2024,108248,US,USA
United States of America,Costa Mesa (CA),2024,108354,US,USA
United Kingdom of Great Britain and Northern Ireland,Angus,2006,108400,GB,GBR
India,Khardaha,2017,108496,IN,IND
United States of America,Sugar Land (TX),2024,108515,US,USA
Bangladesh,Gopalganj Pourasabha,2023,108523,BD,BGD
India,Kanpur (Cantonment Board),2017,108534,IN,IND
Spain,Reus,2024,108535,ES,ESP
Russian Federation,Noyabrsk,2013,108662,RU,RUS
Japan,Tondabayashi,2022,108699,JP,JPN
Japan,Habikino,2022,108736,JP,JPN
Romania,Baia Mare,2023,108759,RO,ROU
United States of America,Downey (CA),2024,108816,US,USA
India,Bongaon,2017,108864,IN,IND
United States of America,Buckeye (AZ),2024,108909,US,USA
Philippines,Talisay (Negros Occidental),2023,108909,PH,PHL
Türkiye,Kilis (Merkez),2023,108984,TR,TUR
Mexico,Sabinas,2024,109005,MX,MEX
Republic of Korea,Sacheon,2025,109026,KR,KOR
United States of America,San Buenaventura (CA),2024,109058,US,USA
Russian Federation,Sergiev Posad,2013,109076,RU,RUS
India,Sehore,2017,109118,IN,IND
Ukraine,Brovary,2023,109154,UA,UKR
Malaysia,Perbadanan Putrajaya,2022,109202,MY,MYS
Thailand,Ang Thong,2013,109207,TH,THA
Japan,Sanda,2022,109238,JP,JPN
Japan,Iwatsuki,2009,109247,JP,JPN
Poland,Walbrzych,2020,109252,PL,POL
Egypt,El-Hwamdia,2011,109314,EG,EGY
Philippines,Tacurong,2023,109319,PH,PHL
Sri Lanka,Kandy,2009,109343,LK,LKA
Philippines,Bayugan,2023,109499,PH,PHL
Japan,Marugame,2022,109513,JP,JPN
Republic of Korea,Boryeong,2002,109535,KR,KOR
Philippines,Glan,2023,109547,PH,PHL
Nigeria,Sapele,2002,109576,NG,NGA
Russian Federation,Seversk,2013,109630,RU,RUS
Canada,Kamloops,2025,109633,CA,CAN
India,Mughalsarai,2017,109650,IN,IND
Pakistan,Farooq Abad,2024,109717,PK,PAK
Hungary,Kecskemét,2024,109731,HU,HUN
Cuba,Ciego de Ávila,2025,109776,CU,CUB
