Country or Area,City,Source Year,Value,ISO3166-1-Alpha-2,ISO3166-1-Alpha-3
China,Songzi,2002,859941,CN,CHN
China,Jiamusi,2002,859944,CN,CHN
China,Chenghai,2002,860003,CN,CHN
China,Jiangyan,2002,861321,CN,CHN
China,Jinzhou (Liaoning),2002,861991,CN,CHN
Nepal,KATHMANDU,2023,862400,NP,NPL
Türkiye,Mardin,2023,862757,TR,TUR
China,Huiyang,2002,862822,CN,CHN
China,Luoding,2002,866190,CN,CHN
Brazil,Teresina,2024,866300,BR,BRA
Mexico,Villahermosa,2024,868387,MX,MEX
India,Jalandhar,2017,868929,IN,IND
China,Xiangfan,2002,871388,CN,CHN
China,Xingning,2002,871507,CN,CHN
France,Marseille,2025,873076,FR,FRA
China,Daye,2002,873859,CN,CHN
India,Aligarh,2017,874408,IN,IND
China,Danyang,2002,877232,CN,CHN
Venezuela (Bolivarian Republic of),Ciudad Guayana,2016,877547,VE,VEN
China,Honghu,2002,877775,CN,CHN
China,Dehui,2002,878349,CN,CHN
China,Hengyang,2002,879051,CN,CHN
United States of America,Indianapolis (IN),2024,879293,US,USA
United Kingdom of Great Britain and Northern Ireland,Tyneside,2006,879996,GB,GBR
China,Zhuzhou,2002,879996,CN,CHN
Spain,Sevilla,2024,881124,ES,ESP
Venezuela (Bolivarian Republic of),Barquisimeto,2016,881127,VE,VEN
China,Jiaxing,2002,881923,CN,CHN
China,Xiaogan,2002,883123,CN,CHN
China,Gaizhou,2002,883811,CN,CHN
India,Bhubaneswar Town,2017,885363,IN,IND
China,Guangshui,2002,885936,CN,CHN
India,Gurgaon,2017,886519,IN,IND
Philippines,Taguig,2023,886722,PH,PHL
Mexico,Reynosa-Río Bravo,2024,887065,MX,MEX
Philippines,Antipolo,2023,887399,PH,PHL
India,Moradabad,2017,887871,IN,IND
China,Wuchang,2002,888782,CN,CHN
China,Weinan,2002,888866,CN,CHN
China,Laizhou,2002,889361,CN,CHN
Ukraine,Donets'k,2022,892980,UA,UKR
China,Qingzhou,2002,894468,CN,CHN
Brazil,São Gonçalo,2024,896744,BR,BRA
China,Laiyang,2002,897681,CN,CHN
Mexico,Tuxtla Gutiérrez,2024,897976,MX,MEX
Brazil,Campo Grande,2024,898100,BR,BRA
Türkiye,Eskisehir,2023,898369,TR,TUR
China,Zengcheng,2002,899644,CN,CHN
China,Pingdingshan,2002,900903,CN,CHN
China,Huludao,2002,900936,CN,CHN
Malaysia,M.P. Klang,2022,902025,MY,MYS
Malaysia,M.B. Subang Jaya,2022,902086,MY,MYS
China,Baoding,2002,902496,CN,CHN
China,Zhangjiakou,2002,903348,CN,CHN
Pakistan,Bahawalpur,2024,903795,PK,PAK
South Africa,Soweto,2000,904165,ZA,ZAF
India,Bareilly,2017,904797,IN,IND
China,Guangyuan,2002,905057,CN,CHN
China,Xinyi (Guangdong),2002,907978,CN,CHN
Nicaragua,MANAGUA,2006,908892,NI,NIC
China,Jixi,2002,910782,CN,CHN
United States of America,Charlotte (NC),2024,911311,US,USA
Pakistan,Sialkote,2024,911817,PK,PAK
China,Yiwu,2002,912670,CN,CHN
China,Yueyang,2002,912993,CN,CHN
United States of America,Columbus (OH),2024,913175,US,USA
Republic of Korea,Seongnam,2002,914590,KR,KOR
China,Yulin (Guangxi),2002,918229,CN,CHN
Indonesia,Padang,2024,919145,ID,IDN
Peru,Trujillo,2019,919899,PE,PER
China,Yichun (Jiangxi),2002,920357,CN,CHN
India,Mysore,2017,920550,IN,IND
China,Ruzhou,2002,923245,CN,CHN
Guatemala,CUIDAD DE GUATEMALA,2023,923392,GT,GTM
Mexico,Veracruz,2024,926468,MX,MEX
India,Durg-Bhilai Nagar,2007,927864,IN,IND
China,Xinhui,2002,932425,CN,CHN
China,Liling,2002,934396,CN,CHN
Japan,Kitakyushu,2022,939029,JP,JPN
Senegal,Pikine,2011,941245,SN,SEN
China,Haimen,2002,942952,CN,CHN
India,Hubli-Dharwad,2017,943788,IN,IND
Malaysia,M.B. Seberang Perai,2022,946092,MY,MYS
China,Wuwei,2002,946506,CN,CHN
Iran (Islamic Republic of),Kermanshah,2017,946651,IR,IRN
Republic of Korea,Suwon (Puwan),2002,946704,KR,KOR
Tajikistan,DUSHANBE,2024,948251,TJ,TJK
China,Feicheng,2002,948602,CN,CHN
China,Linhai,2002,948618,CN,CHN
China,Taishan,2002,948716,CN,CHN
China,Liaocheng,2002,950319,CN,CHN
India,Solapur,2017,951558,IN,IND
China,Xianyang,2002,953860,CN,CHN
China,Wafangdian,2002,956063,CN,CHN
Mexico,Tampico,2024,956766,MX,MEX
China,Zhangjiagang,2002,957223,CN,CHN
South Africa,Johannesburg,2011,957441,ZA,ZAF
Brazil,Maceió,2024,957916,BR,BRA
Ukraine,Dnipro,2022,958377,UA,UKR
Mauritania,NOUAKCHOTT,2018,958399,MR,MRT
India,Guwahati,2017,962334,IN,IND
China,Xinyi (Jiangsu),2002,962656,CN,CHN
Philippines,Cebu,2023,964169,PH,PHL
Dominican Republic,SANTO DOMINGO,2012,965040,DO,DOM
Thailand,Chiang Mai,2013,967020,TH,THA
Bangladesh,Narayanganj City Corporation,2023,967951,BD,BGD
United States of America,San Jose (CA),2024,969655,US,USA
India,Chandigarh,2017,970602,IN,IND
Liberia,MONROVIA,2015,970824,LR,LBR
Japan,Chiba,2022,974951,JP,JPN
Pakistan,Sargodha,2024,975886,PK,PAK
China,Yongzhou,2002,976539,CN,CHN
Philippines,Zamboanga,2023,977234,PH,PHL
China,Zhangqiu,2002,977324,CN,CHN
